"relative_path","size_bytes","last_write_time"
"data\reserve\hourly_reserve_costcurve_fixTsConst_beta_95.mat","10471360","2026-04-02T09:18:22"
"data\stage1\gaussian\rousseau_gaussian_margin_15min_cn_results.mat","45992","2026-03-27T19:54:54"
"data\stage1\gaussian\rousseau_gaussian_margin_15min_cn_summary.txt","954","2026-03-27T19:55:00"
"data\stage1\gaussian\rousseau_gaussian_shrinkage_15min_results.mat","50936","2026-03-27T15:56:38"
"data\stage1\gaussian\rousseau_gaussian_shrinkage_15min_summary.txt","911","2026-03-27T15:56:40"
"data\stage1\stage1_cqr_for_stage2.mat","32496","2026-05-05T15:28:35"
"data\stage1\stage1_cqr_tree_data.mat","190444897","2026-05-05T15:19:03"
"data\stage1\stage1_cqr_tree_tuned_parallel_results.mat","24920","2026-05-05T15:28:35"
"data\stage1\stage1_hour_model_for_stage2.mat","1266","2026-05-05T15:21:14"
"docs\00_先看这里.md","1914","2026-05-06T08:45:25"
"docs\01_仿真主线流程.md","4079","2026-05-06T08:45:25"
"docs\02_论文图表数据对应关系.md","5972","2026-05-06T08:36:35"
"docs\03_导出Excel使用指南.md","1304","2026-05-06T08:45:25"
"docs\04_导出脚本说明.md","3771","2026-05-06T08:36:35"
"docs\90_验证报告.md","6565","2026-05-06T08:47:32"
"docs\91_代码清单.csv","2374","2026-05-06T08:48:10"
"docs\92_数据清单.csv","11990","2026-05-06T08:48:10"
"docs\93_导出Excel表头摘要.csv","19670","2026-05-06T08:36:35"
"docs\94_清洁室文件总清单.csv","23632","2026-05-06T08:37:23"
"docs\95_Origin工程字符串证据.txt","6378","2026-05-06T08:36:35"
"export\export_baseline_fixedTs_vs_coop_xlsx.m","21359","2026-05-05T10:09:29"
"export\export_cqr_gaussian_risk_bounds_and_margins_xlsx.m","13525","2026-05-05T10:09:29"
"export\export_hourly_feasible_costcurve_xlsx.m","11552","2026-05-05T10:09:29"
"export\export_hourly_max_feasible_and_credible_reserve_xlsx.m","18427","2026-05-05T10:09:29"
"export\export_hourly_reserve_ts_ma_xlsx.m","13476","2026-05-05T10:09:29"
"export\export_hourly_risk_bounds_and_temperature_trajectories_xlsx.m","12590","2026-05-05T10:09:29"
"export\export_one_day_outdoor_temp_irradiance_xlsx.m","6295","2026-05-05T10:09:29"
"export\export_postprocess_hourly_credible_revenue_view_xlsx.m","14123","2026-05-05T10:09:29"
"export\export_postprocess_hourly_credible_revenue_view_xlsx_origin.m","14119","2026-05-05T10:09:29"
"export\export_stage1_cqr_prediction_intervals_xlsx.m","8980","2026-05-05T10:09:29"
"export\export_typical_hour_credible_screen_xlsx.m","14226","2026-05-05T10:09:29"
"origin\figure1.opju","10966379","2026-05-01T22:53:31"
"paper\v3_TSTE.pdf","1128583","2026-05-02T19:08:08"
"paper\v3_TSTE.tex","79599","2026-05-02T19:07:56"
"plot\plot_ch3_baseline_fixedTs_suite_V4.m","15278","2026-05-04T21:36:02"
"plot\plot_ch3_hourly_reserve_costcurve_results_V2.m","27925","2026-05-04T21:39:28"
"plot\plot_hourly_reserve_ts_ma_multi_beta.m","18742","2026-05-04T21:39:28"
"plot\plot_postprocess_hourly_credible_cost_view_full.m","5632","2026-05-04T21:36:02"
"plot\plot_postprocess_hourly_credible_revenue_view_full.m","20305","2026-05-04T21:36:02"
"plot\plot_typical_hour_reserve_preview_V1.m","17877","2026-05-04T21:39:28"
"project_data_file.m","1486","2026-05-05T10:53:47"
"project_paths.m","1816","2026-05-06T08:44:26"
"project_paths.py","2024","2026-05-06T08:44:26"
"README.md","2380","2026-05-06T08:45:25"
"run\run_ch3_baseline_fixedTs_suite_V4.m","28454","2026-05-05T09:52:37"
"run\run_ch3_hourly_credible_feasibility_screen_V2.m","33588","2026-05-04T21:37:17"
"run\run_ch3_hourly_reserve_costcurve_main_V2.m","36447","2026-05-05T10:53:31"
"run\run_postprocess_hourly_credible_cost_view_full.m","9894","2026-05-04T21:36:02"
"run\run_postprocess_hourly_credible_revenue_view_full.m","20348","2026-05-04T21:36:02"
"run\run_regd_15min_historical_variance_v8.m","15551","2026-05-04T21:36:02"
"run\run_test_postprocess_hourly_credible_revenue_view_full.m","18584","2026-05-04T21:36:02"
"run\stage1_cqr.py","39817","2026-05-06T08:44:26"
"run\stage1_cqr_plot.py","9148","2026-05-04T21:36:33"
"run\Stage1Code_CQR.m","10025","2026-05-05T15:32:03"
"src\analysis\compare_hourly_reserve_surface_vs_ref_beta.m","22154","2026-05-04T21:36:02"
"src\postprocess\postprocess_hourly_credible_revenue_view_full.m","33070","2026-05-04T21:36:02"
"startup.m","163","2026-05-04T21:34:29"
